date,fed_carry,news,news_z,headline,method,n_articles
2026-07-03,0.2985,0.628,6.616,3.4573,z_weighted,2
2026-07-04,0.2985,-0.0018,-0.2004,0.049,z_weighted,2
2026-07-05,0.2985,-0.0995,-1.2581,-0.4798,z_weighted,2
2026-07-06,0.2985,-0.0677,-0.9134,-0.3075,z_weighted,11
2026-07-07,0.2985,-0.3233,-3.6802,-1.6908,z_weighted,3
2026-07-08,0.2985,0.3896,4.0352,2.1669,z_weighted,5
2026-07-09,0.2985,-0.8523,-9.4048,-4.5531,z_weighted,3
2026-07-10,0.2985,0.0952,0.85,0.5743,z_weighted,49
2026-07-11,0.2985,-0.1439,-1.7376,-0.7195,z_weighted,11
2026-07-12,0.2985,-0.1502,-1.8064,-0.7539,z_weighted,15
2026-07-13,0.2985,-0.1843,-2.1754,-0.9384,z_weighted,40
2026-07-14,0.2985,0.2224,2.2266,1.2626,z_weighted,59
2026-07-15,0.2985,0.2818,2.8689,1.5837,z_weighted,49
2026-07-16,0.2985,-0.101,-1.2741,-0.4878,z_weighted,47
2026-07-17,0.2985,0.0581,0.4477,0.3731,z_weighted,37
2026-07-18,0.2985,-0.0957,-1.2165,-0.459,z_weighted,17
2026-07-19,0.2985,0.0488,0.347,0.3228,z_weighted,14
2026-07-20,0.2985,0.1361,1.2921,0.7953,z_weighted,51
2026-07-21,0.2985,0.1192,1.1089,0.7037,z_weighted,20
2026-07-22,0.2985,0.2737,2.7809,1.5397,z_weighted,24
2026-07-23,0.2985,0.0297,0.1411,0.2198,z_weighted,41
2026-07-24,0.2985,-0.034,-0.5489,-0.1252,z_weighted,49
2026-07-25,0.2985,0.1573,1.5213,0.9099,z_weighted,18
2026-07-26,0.2985,0.2114,2.1072,1.2028,z_weighted,23
2026-07-27,0.2985,-0.0365,-0.576,-0.1387,z_weighted,50
2026-07-28,0.2985,0.044,0.2958,0.2971,z_weighted,33
2026-07-29,0.5545,0.0289,0.1323,0.3434,z_weighted,56
2026-07-30,0.5545,0.1912,1.8885,1.2215,z_weighted,52
2026-07-31,0.5545,0.069,0.5658,0.5601,z_weighted,53
2026-08-01,0.5545,0.1023,0.9262,0.7404,z_weighted,26
2026-08-02,0.5545,0.1823,1.7918,1.1731,z_weighted,17
2026-08-03,0.5545,-0.1218,-1.4992,-0.4724,z_weighted,9
2026-08-04,0.5545,0.2253,2.2572,1.4059,z_weighted,10
2026-08-05,0.5545,0.1768,1.733,1.1438,z_weighted,17
2026-08-06,0.5545,-0.0777,-1.0218,-0.2336,z_weighted,13
2026-08-07,0.5545,-0.1925,-2.2644,-0.8549,z_weighted,19
2026-08-08,0.5545,-0.0591,-0.8199,-0.1327,z_weighted,2
2026-08-09,0.5545,-0.2212,-2.5742,-1.0099,z_weighted,4
2026-08-10,0.5545,0.1419,1.3547,0.9546,z_weighted,6
2026-08-11,0.5545,-0.4747,-5.3186,-2.382,z_weighted,6
2026-08-12,0.5545,0.352,3.6292,2.0918,z_weighted,8
2026-08-13,0.5545,0.452,4.7105,2.6325,z_weighted,7
2026-08-14,0.5545,-0.074,-0.9817,-0.2136,z_weighted,9
2026-08-15,0.5545,0.1644,1.5989,1.0767,z_weighted,4
2026-08-16,0.5545,-0.6602,-7.3258,-3.3857,z_weighted,3
2026-08-17,0.5545,0.0524,0.3862,0.4704,z_weighted,9
2026-08-18,0.5545,0.3472,3.5774,2.0659,z_weighted,3
2026-08-19,0.5545,0.0766,0.648,0.6012,z_weighted,10
2026-08-20,0.5545,-0.0826,-1.0751,-0.2603,z_weighted,9
2026-08-21,0.5545,0.0904,0.7973,0.6759,z_weighted,6
2026-08-22,0.5545,-0.1016,-1.2805,-0.363,z_weighted,4
2026-08-23,0.5545,0.0471,0.3293,0.4419,z_weighted,3
2026-08-24,0.5545,0.1271,1.1944,0.8745,z_weighted,13
2026-08-25,0.5545,-0.073,-0.9702,-0.2079,z_weighted,14
2026-08-26,0.5545,0.156,1.5073,1.0309,z_weighted,12
2026-08-27,0.5545,-0.0854,-1.105,-0.2753,z_weighted,28
2026-08-28,0.5545,0.1033,0.9372,0.7459,z_weighted,67
2026-08-29,0.5545,0.2371,2.3857,1.4701,z_weighted,22
2026-08-30,0.5545,0.1933,1.9118,1.2331,z_weighted,9
2026-08-31,0.5545,-0.1111,-1.3827,-0.4141,z_weighted,56
2026-09-01,0.5545,-0.0852,-1.1026,-0.274,z_weighted,24
2026-09-02,0.5545,0.4279,4.4499,2.5022,z_weighted,9
2026-09-03,0.5545,0.21,2.0915,1.323,z_weighted,22
2026-09-04,0.5545,0.274,2.7849,1.6697,z_weighted,24
2026-09-05,0.5545,-0.0941,-1.1996,-0.3225,z_weighted,9
