date,statement,minutes,gap,confidence,n_sentences,DFMOMO,SRES,SRFS,SEO,PVCCEO,CPA
2000-02-02,-0.7096,0.2209,0.9305,0.7334,153,0.0021,0.2278,0.4396,0.8403,0.263,0.0833
2000-03-21,-0.4723,0.1974,0.6697,0.7451,138,0.0053,0.471,-0.2043,0.4719,0.1435,-0.0508
2000-05-16,-0.7276,0.3561,1.0837,0.6724,123,0.1273,0.615,0.2902,0.1951,0.2643,-0.049
2000-06-28,0.2021,0.0264,-0.1756,0.7244,120,0.0017,0.2312,0.0523,-0.1469,-0.0484,-0.2302
2000-08-22,0.0072,0.1167,0.1095,0.7019,254,0.0017,0.1024,0.2731,0.0271,0.1204,-0.2302
2000-10-03,0.1973,-0.0447,-0.2419,0.665,111,0.0019,-0.0026,0.1966,-0.0967,-0.1773,-0.2274
2000-11-15,-0.5544,-0.2161,0.3383,0.6828,135,0.0014,-0.0834,-0.1895,-0.2871,-0.368,-0.2302
2000-12-19,-0.2003,-0.073,0.1273,0.7301,132,0.0017,0.0237,-0.4125,0.3286,-0.0604,-0.3067
2001-01-31,-0.4222,-0.0925,0.3297,0.7026,139,0.0014,-0.282,-0.0458,0.2983,0.0194,-0.3231
2001-03-20,-0.4202,-0.0019,0.4183,0.7061,132,0.0011,0.2077,-0.0502,0.4907,-0.1928,-0.3246
2001-04-18,-0.1067,-0.1798,-0.0731,0.6959,14,,,,,-0.1674,-0.2109
2001-05-15,-0.239,-0.0759,0.1631,0.736,140,0.0046,-0.4537,0.4302,0.6457,-0.0633,-0.3249
2001-06-27,-0.2633,-0.1741,0.0892,0.735,142,0.0014,-0.2702,-0.0417,0.4979,-0.2067,-0.2117
2001-08-21,-0.2635,-0.2832,-0.0197,0.7365,133,0.0011,-0.4484,-0.2799,0.4811,-0.2484,-0.3237
2001-09-17,-0.1697,-0.128,0.0417,0.8585,11,,,,,,-0.128
2001-10-02,-0.3957,-0.3807,0.015,0.7347,139,0.0077,-0.6579,-0.189,0.3191,-0.4256,-0.2115
2001-11-06,-0.2452,-0.2726,-0.0274,0.7617,129,0.0011,-0.7321,0.1495,0.4149,-0.2494,-0.2105
2001-12-11,-0.1745,-0.0624,0.1121,0.7211,135,0.0008,-0.2255,0.0644,0.9335,-0.0623,-0.1382
2002-01-30,-0.3004,-0.0675,0.2329,0.7111,139,0.0012,-0.3341,-0.0741,0.5946,0.0279,-0.2137
2002-03-19,0.2042,0.1636,-0.0406,0.7535,141,0.013,0.2641,-0.0104,0.3622,0.1478,0.246
2002-05-07,0.3108,0.0419,-0.2689,0.7303,127,0.0046,0.1874,-0.1614,0.2985,-0.1138,0.5208
2002-06-26,0.4281,0.1308,-0.2973,0.724,131,0.0028,0.0565,-0.3932,0.4915,0.2333,0.5208
2002-08-13,-0.2451,0.0755,0.3205,0.7577,121,0.0011,-0.0188,-0.4965,0.5738,0.2475,0.0039
2002-09-24,0.0056,-0.0031,-0.0088,0.6821,113,0.0012,0.0564,-0.6235,0.5787,0.0044,0.0038
2002-11-06,0.4704,-0.0674,-0.5378,0.7403,140,0.001,-0.3015,0.1862,0.3962,-0.0102,-0.0067
2002-12-10,0.4851,0.0263,-0.4588,0.7303,109,0.001,-0.4379,-0.0432,0.5747,0.3041,0.5799
2003-01-29,0.2442,-0.0508,-0.2949,0.7321,122,0.0026,-0.1585,-0.363,0.2169,0.0135,0.3971
2003-03-18,-0.2586,-0.0866,0.1719,0.7581,117,0.0008,-0.2464,0.1779,0.1068,-0.0816,0.0704
2003-05-06,0.0134,-0.0263,-0.0397,0.7482,136,-0.0157,-0.1479,-0.0897,-0.044,0.087,0.2636
2003-06-25,0.1553,0.1673,0.012,0.6788,152,0.0561,0.3531,-0.0316,0.7413,0.0857,0.001
2003-08-12,0.1453,0.1683,0.0231,0.736,121,0.0008,-0.0034,0.5307,0.6903,0.1624,0.2001
2003-09-16,0.1386,0.2604,0.1218,0.7446,132,0.0008,0.2319,0.3124,0.7874,0.231,0.2001
2003-10-28,0.1404,0.1577,0.0173,0.7467,123,0.0008,0.3069,-0.0785,0.638,0.0757,0.0637
2003-12-09,0.3128,0.2485,-0.0643,0.7621,132,0.0008,0.2438,0.0285,0.5442,0.336,0.1442
2004-01-28,0.4039,0.2473,-0.1566,0.7704,158,0.0009,0.4589,-0.3047,0.7433,0.1885,0.1139
2004-03-16,0.1465,0.2514,0.1049,0.7541,137,0.0008,0.3328,0.1061,0.9085,0.1433,0.2368
2004-05-04,0.5581,0.4356,-0.1225,0.7497,164,0.0028,0.4945,0.4809,0.4806,0.4448,0.3954
2004-06-30,0.2963,0.3777,0.0814,0.7431,142,-0.0047,0.5536,0.235,0.8408,0.3106,0.2057
2004-08-10,0.1239,0.0469,-0.077,0.7609,130,0.0009,-0.1339,-0.2009,0.9608,0.163,0.2057
2004-09-21,0.4172,0.2344,-0.1829,0.7538,138,0.0008,0.3938,0.1656,0.851,-0.0085,0.2105
2004-11-10,0.4291,0.1642,-0.2648,0.7481,115,0.0036,0.3018,0.0461,0.6902,0.0575,0.2102
2004-12-14,0.2716,0.2596,-0.012,0.7272,125,0.001,0.5328,0.1049,0.4456,0.1704,0.065
2005-02-02,0.4287,0.1834,-0.2454,0.8016,195,0.0008,0.5931,0.037,0.5619,0.0929,0.0359
2005-03-22,0.2819,0.3324,0.0505,0.7559,159,0.0008,0.6815,0.245,0.5736,0.1346,0.0625
2005-05-03,0.2266,0.0725,-0.1541,0.7298,140,0.0035,0.302,-0.401,0.0147,-0.1453,-0.015
2005-06-30,0.4191,0.2136,-0.2055,0.7251,143,0.0008,0.318,0.217,0.6139,-0.0497,0.1577
2005-08-09,0.3348,0.2365,-0.0983,0.7613,118,0.0009,0.1834,0.2686,0.6571,0.3289,0.0597
2005-09-20,-0.009,0.0741,0.0831,0.7331,128,0.0009,0.3214,0.4793,-0.0052,-0.2483,-0.008
2005-11-01,0.0203,0.1936,0.1733,0.7451,136,0.0009,0.099,0.5217,0.3312,0.3575,0.0786
2005-12-13,0.296,0.2553,-0.0407,0.7489,121,0.0009,0.3621,0.1845,0.7441,0.226,0.0985
2006-01-31,0.2674,0.1226,-0.1448,0.7966,215,0.0009,0.3067,0.1257,0.9759,0.2267,0.0058
2006-03-28,0.2493,0.3039,0.0546,0.7192,156,0.0009,0.5131,0.5965,0.7256,0.1611,0.0094
2006-05-10,0.2965,0.285,-0.0115,0.753,163,0.0009,0.4447,0.1563,0.7394,0.2916,-0.0152
2006-06-29,-0.0678,0.0685,0.1363,0.693,138,0.0009,0.0695,0.1726,0.2622,0.0204,0.0807
2006-08-08,0.0011,0.0546,0.0535,0.7089,139,0.0011,0.2041,-0.1073,-0.7884,-0.0941,0.0531
2006-09-20,-0.1652,0.0985,0.2637,0.731,147,0.0009,0.0166,0.3822,-0.0997,0.2231,0.0685
2006-10-25,-0.1441,0.0715,0.2155,0.7392,162,-0.1214,0.3078,0.3453,-0.2734,-0.2949,0.0279
2006-12-12,-0.1396,0.0502,0.1898,0.7533,147,0.0008,0.1311,0.0634,-0.308,-0.0047,-0.0327
2007-01-31,0.1596,0.1142,-0.0454,0.8098,247,0.0009,0.2044,0.319,0.0422,0.1809,0.0233
2007-03-21,-0.1377,0.0232,0.1609,0.7385,150,0.0011,0.1665,-0.3853,-0.9011,0.0209,-0.0495
2007-05-09,-0.3061,0.1066,0.4127,0.743,153,0.0038,0.2224,0.5181,-0.0582,-0.1957,0.0702
2007-06-28,0.1318,0.1049,-0.027,0.7563,156,,0.0917,0.6461,0.5102,-0.129,0.097
2007-08-07,-0.0296,0.1243,0.1539,0.7399,155,0.0009,0.3707,-0.0852,-0.568,0.0014,-0.0745
2007-09-18,0.1336,-0.1765,-0.3101,0.7866,211,0.0008,0.0062,-0.2273,-0.2126,-0.5988,-0.0685
2007-10-31,0.3186,-0.0489,-0.3674,0.7481,190,0.001,0.0051,0.3266,-0.0334,-0.4581,0.0944
2007-12-11,-0.1142,-0.0478,0.0665,0.7413,222,-0.0356,0.0911,0.0076,-0.084,-0.3561,-0.0325
2008-01-30,-0.2464,-0.1553,0.0912,0.7698,313,0.0009,-0.0889,-0.0101,-0.4538,-0.4246,-0.0967
2008-03-18,-0.1882,-0.2078,-0.0196,0.7756,232,0.0009,-0.3548,-0.0233,-0.2842,-0.4317,-0.0141
2008-04-30,-0.095,-0.0822,0.0128,0.7419,241,0.0845,-0.3699,0.4602,-0.1551,-0.0591,-0.0563
2008-06-25,0.0159,-0.1562,-0.1721,0.7531,200,0.0009,-0.161,0.0138,-0.1548,-0.267,-0.126
2008-08-05,-0.1176,-0.2768,-0.1592,0.7293,183,0.0009,-0.3617,-0.095,-0.6466,-0.5024,-0.1077
2008-09-16,-0.3436,-0.2962,0.0474,0.7447,178,0.0429,-0.4033,-0.2554,-0.5371,-0.3121,-0.1093
2008-10-29,-0.1289,-0.2648,-0.1359,0.7573,289,-0.0009,-0.532,0.0895,-0.583,-0.6575,-0.0941
2008-12-16,0.071,-0.2834,-0.3544,0.7464,265,0.0009,-0.5271,-0.2555,-0.207,-0.3263,0.0074
2009-01-28,-0.2456,-0.3347,-0.0891,0.7736,212,0.1117,-0.7618,-0.0142,-0.5236,-0.4604,-0.088
2009-03-18,-0.0077,-0.222,-0.2143,0.7785,234,0.0741,-0.3022,,-0.6832,-0.1781,
2009-04-29,-0.047,0.0072,0.0542,0.7493,213,0.0302,-0.256,0.3053,0.4969,-0.0433,
2009-06-24,0.3654,0.0026,-0.3628,0.759,279,-0.0199,-0.1294,0.3719,0.3053,-0.1024,
2009-08-12,0.3348,0.0191,-0.3157,0.7491,233,0.1178,0.046,-0.0982,0.1513,-0.1051,0.2312
2009-09-23,0.4463,0.1815,-0.2648,0.7533,247,0.1627,0.3486,-0.0246,0.6702,0.0188,0.2394
2009-11-04,0.4142,0.146,-0.2682,0.743,233,0.0674,0.239,0.0466,0.3975,0.0518,0.2384
2009-12-16,0.3456,0.1708,-0.1748,0.7164,267,0.1286,0.3918,0.1446,0.5141,0.0347,
2010-01-27,0.2521,0.0739,-0.1782,0.7548,248,0.0583,0.1339,-0.1357,0.4514,0.0283,0.1437
2010-03-16,0.4417,0.1427,-0.299,0.7128,200,0.1774,0.1283,0.1462,0.121,0.04,0.2576
2010-04-28,0.1909,0.1293,-0.0616,0.7525,221,0.0895,0.4826,-0.0757,0.3035,-0.0581,0.1283
2010-06-23,0.0039,0.0786,0.0747,0.7088,238,0.0098,0.4214,-0.147,0.1343,-0.1711,0.0322
2010-08-10,-0.0575,0.0045,0.062,0.7353,227,0.1204,0.0678,0.1711,0.5169,-0.2263,-0.0597
2010-09-21,-0.1656,0.0209,0.1865,0.6872,200,0.0436,-0.0224,0.3127,0.1027,-0.1845,-0.075
2010-11-03,-0.2401,0.0711,0.3112,0.7331,215,0.0544,0.0362,0.3539,0.4316,-0.0414,-0.0902
2010-12-14,-0.1332,0.0583,0.1914,0.7229,223,0.0149,0.0313,0.1809,0.5861,-0.0019,-0.0753
2011-01-26,-0.0835,0.2216,0.3051,0.7226,237,0.0695,0.3665,0.175,0.4786,0.2222,-0.0219
2011-03-15,0.2876,0.1767,-0.1109,0.7448,218,0.0925,0.2673,0.2118,0.0115,0.0747,0.2386
2011-04-27,0.2425,0.0907,-0.1518,0.7392,244,0.0617,-0.2141,0.3702,-0.0433,0.1098,0.2323
2011-06-22,0.1706,-0.0769,-0.2475,0.7389,197,0.0289,-0.2001,0.0538,-0.0469,-0.2168,0.0559
2011-08-09,-0.0433,-0.1389,-0.0956,0.7402,202,0.0025,-0.0957,-0.0039,-0.1142,-0.4477,0.0043
2011-09-21,0.1396,-0.1924,-0.332,0.7632,218,0.004,-0.2235,-0.3121,-0.278,-0.4295,0.1622
2011-11-02,0.3456,-0.0526,-0.3982,0.7467,205,0.0017,0.0475,-0.1389,0.163,-0.2449,0.2003
2011-12-13,0.2254,-0.0029,-0.2283,0.7455,193,0.0025,-0.0581,-0.0347,0.359,-0.0683,0.1101
2012-01-25,0.1716,0.1019,-0.0697,0.7243,205,0.0022,-0.0428,0.3203,0.2458,0.0518,0.0755
2012-03-13,0.3433,0.2241,-0.1192,0.7133,189,0.0026,0.2008,0.3336,0.7112,0.0837,0.2359
2012-04-25,0.2704,0.1919,-0.0786,0.7283,211,-0.1122,0.3707,0.2699,0.4928,0.138,0.1044
2012-06-20,0.2734,-0.0333,-0.3067,0.7282,233,0.008,-0.0106,-0.0371,-0.379,-0.1449,0.1215
2012-08-01,0.1301,0.0431,-0.087,0.7106,208,0.0032,-0.0433,0.372,-0.1049,-0.1243,0.1104
2012-09-13,0.2078,0.0197,-0.1881,0.748,231,0.0026,-0.0064,0.2478,0.279,-0.1749,0.1224
2012-10-24,0.1329,0.0775,-0.0554,0.7554,204,0.002,-0.0589,0.3174,0.5978,-0.0782,0.1254
2012-12-12,0.1356,-0.0467,-0.1823,0.7452,236,-0.0936,-0.0987,0.1644,-0.366,-0.1459,0.017
2013-01-30,0.2679,0.2006,-0.0673,0.7642,202,0.0017,0.1023,0.5136,0.4821,0.0735,0.1494
