date,kind,grade,fired,channel,n_recipients,n_failed,suppressed_reason
2026-09-04,signal,⚪ 중립,,dryrun,,,grade_not_actionable
2026-09-05,signal,⚪ 관망,tone_shift,dryrun,,,grade_not_actionable
2026-09-06,signal,⚪ 관망,tone_shift,dryrun,,,grade_not_actionable
2026-09-07,signal,⚪ 관망,tone_shift,dryrun,,,grade_not_actionable
2026-09-08,signal,⚪ 관망,tone_shift,dryrun,,,grade_not_actionable
2026-09-09,signal,⚪ 중립,,dryrun,,,grade_not_actionable
2026-09-10,signal,⚠️ 주의,tone_shift,dryrun,,,level_below_alert
2026-09-11,signal,⚠️ 주의,tone_shift,dryrun,,,level_below_alert
2026-09-12,signal,⚪ 중립,,dryrun,,,no_market_data
2026-09-13,signal,⚪ 중립,,dryrun,,,no_market_data
2026-09-13,signal,⚪ 중립,,dryrun,,,no_market_data
2026-09-14,signal,⚪ 중립,,dryrun,,,not_today
2026-09-15,signal,🟢 정합,,dryrun,,,grade_not_actionable
2026-09-16,signal,⚠️ 주의,tone_shift,dryrun,,,not_today
2026-09-16,fed_meeting,⚠️ 주의,,dryrun,,,not_today
2026-09-17,signal,⚪ 중립,,dryrun,,,no_market_data
2026-09-16,signal,⚠️ 주의,tone_shift;tone_vs_rate,dryrun,,,not_today
2026-09-16,fed_meeting,⚠️ 주의,,dryrun,,,not_today
2026-09-18,signal,🟢 정합,,dryrun,,,grade_not_actionable
2026-09-16,signal,⚠️ 주의,tone_shift;tone_vs_rate,dryrun,,,not_today
2026-09-16,fed_meeting,⚠️ 주의,,dryrun,,,not_today
