date,grade_before,fired_before,grade_after,fired_after
2000-02-02,🔴 경고,divergence;tone_vs_vix;tone_vs_rate,🔴 경고,divergence;tone_vs_vix;tone_vs_rate
2000-03-21,⚠️ 주의,tone_shift,⚪ 중립,
2000-05-16,⚠️ 주의,tone_shift,⚠️ 주의,tone_shift
2000-06-28,🔴 경고,tone_shift;divergence,🔴 경고,tone_shift;divergence
2000-08-22,⚠️ 주의,tone_shift,🟢 정합,
2000-10-03,⚠️ 주의,tone_shift,🟢 정합,
2000-11-15,⚠️ 주의,tone_shift;tone_vs_vix,⚠️ 주의,tone_shift;tone_vs_vix
2000-12-19,⚠️ 주의,tone_shift;tone_vs_rate,⚠️ 주의,tone_shift;tone_vs_rate
2001-01-03,⚠️ 주의,tone_shift;tone_vs_rate,⚠️ 주의,tone_vs_rate
2001-01-31,⚠️ 주의,tone_vs_rate,⚠️ 주의,tone_vs_rate
2001-03-20,🟢 정합,,🟢 정합,
2001-04-18,🔴 경고,tone_shift;divergence,⚠️ 주의,tone_shift
2001-05-15,🔴 경고,tone_shift;divergence;tone_vs_vix,🔴 경고,divergence;tone_vs_vix
2001-06-27,🔴 경고,divergence,🔴 경고,divergence
2001-08-21,⚠️ 주의,tone_vs_vix,⚠️ 주의,tone_vs_vix
2001-09-17,⚠️ 주의,tone_vs_vix,⚠️ 주의,tone_vs_vix
2001-10-02,🔴 경고,tone_shift;divergence,🔴 경고,divergence
2001-11-06,⚠️ 주의,tone_shift;tone_vs_rate,⚠️ 주의,tone_vs_rate
2001-12-11,⚠️ 주의,tone_vs_rate,⚠️ 주의,tone_vs_rate
2002-01-30,🔴 경고,tone_shift;divergence;tone_vs_vix,🔴 경고,divergence;tone_vs_vix
2002-03-19,🔴 경고,tone_shift;divergence;tone_vs_rate,🔴 경고,tone_shift;divergence;tone_vs_rate
2002-05-07,⚠️ 주의,tone_shift;tone_vs_rate,⚠️ 주의,tone_vs_rate
2002-06-26,⚠️ 주의,tone_shift;tone_vs_rate,⚠️ 주의,tone_vs_rate
2002-08-13,🔴 경고,tone_shift;divergence;tone_vs_vix,🔴 경고,tone_shift;divergence;tone_vs_vix
2002-09-24,⚠️ 주의,tone_shift,🟢 정합,
2002-11-06,🔴 경고,tone_shift;divergence,🔴 경고,tone_shift;divergence
2002-12-10,🟢 정합,,🟢 정합,
