as_of,date,statement,minutes,presser,combined,grade,fired,n_axes
2026-08-06,2000-02-02,-0.7096,0.2209,,,,,2
2026-08-06,2000-03-21,-0.4723,0.1974,,,,,2
2026-08-06,2000-05-16,-0.7276,0.3561,,,,,2
2026-08-06,2000-06-28,0.2021,0.0264,,,,,2
2026-08-06,2000-08-22,0.0072,0.1167,,,,,2
2026-08-06,2000-10-03,0.1973,-0.0447,,,,,2
2026-08-06,2000-11-15,-0.5544,-0.2161,,,,,2
2026-08-06,2000-12-19,-0.2003,-0.073,,,,,2
2026-08-06,2001-01-31,-0.4222,-0.0925,,,,,2
2026-08-06,2001-03-20,-0.4202,-0.0019,,,,,2
2026-08-06,2001-04-18,-0.1067,-0.1798,,,,,2
2026-08-06,2001-05-15,-0.239,-0.0759,,,,,2
2026-08-06,2001-06-27,-0.2633,-0.1741,,,,,2
2026-08-06,2001-08-21,-0.2635,-0.2832,,,,,2
2026-08-06,2001-09-17,-0.1697,-0.128,,,,,2
2026-08-06,2001-10-02,-0.3957,-0.3807,,,,,2
2026-08-06,2001-11-06,-0.2452,-0.2726,,,,,2
2026-08-06,2001-12-11,-0.1745,-0.0624,,,,,2
2026-08-06,2002-01-30,-0.3004,-0.0675,,,,,2
2026-08-06,2002-03-19,0.2042,0.1636,,,,,2
2026-08-06,2002-05-07,0.3108,0.0419,,,,,2
2026-08-06,2002-06-26,0.4281,0.1308,,,,,2
2026-08-06,2002-08-13,-0.2451,0.0755,,,,,2
2026-08-06,2002-09-24,0.0056,-0.0031,,,,,2
2026-08-06,2002-11-06,0.4704,-0.0674,,,,,2
2026-08-06,2002-12-10,0.4851,0.0263,,,,,2
2026-08-06,2003-01-29,0.2442,-0.0508,,,,,2
2026-08-06,2003-03-18,-0.2586,-0.0866,,,,,2
2026-08-06,2003-05-06,0.0134,-0.0263,,,,,2
2026-08-06,2003-06-25,0.1553,0.1673,,,,,2
2026-08-06,2003-08-12,0.1453,0.1683,,,,,2
2026-08-06,2003-09-16,0.1386,0.2604,,,,,2
2026-08-06,2003-10-28,0.1404,0.1577,,,,,2
2026-08-06,2003-12-09,0.3128,0.2485,,,,,2
2026-08-06,2004-01-28,0.4039,0.2473,,,,,2
2026-08-06,2004-03-16,0.1465,0.2514,,,,,2
2026-08-06,2004-05-04,0.5581,0.4356,,,,,2
2026-08-06,2004-06-30,0.2963,0.3777,,,,,2
2026-08-06,2004-08-10,0.1239,0.0469,,,,,2
2026-08-06,2004-09-21,0.4172,0.2344,,,,,2
2026-08-06,2004-11-10,0.4291,0.1642,,,,,2
2026-08-06,2004-12-14,0.2716,0.2596,,,,,2
2026-08-06,2005-02-02,0.4287,0.1834,,,,,2
2026-08-06,2005-03-22,0.2819,0.3324,,,,,2
2026-08-06,2005-05-03,0.2266,0.0725,,,,,2
2026-08-06,2005-06-30,0.4191,0.2136,,,,,2
2026-08-06,2005-08-09,0.3348,0.2365,,,,,2
2026-08-06,2005-09-20,-0.009,0.0741,,,,,2
2026-08-06,2005-11-01,0.0203,0.1936,,,,,2
2026-08-06,2005-12-13,0.296,0.2553,,,,,2
2026-08-06,2006-01-31,0.2674,0.1226,,,,,2
2026-08-06,2006-03-28,0.2493,0.3039,,,,,2
2026-08-06,2006-05-10,0.2965,0.285,,,,,2
2026-08-06,2006-06-29,-0.0678,0.0685,,,,,2
2026-08-06,2006-08-08,0.0011,0.0546,,,,,2
2026-08-06,2006-09-20,-0.1652,0.0985,,,,,2
2026-08-06,2006-10-25,-0.1441,0.0715,,,,,2
2026-08-06,2006-12-12,-0.1396,0.0502,,,,,2
2026-08-06,2007-01-31,0.1596,0.1142,,,,,2
2026-08-06,2007-03-21,-0.1377,0.0232,,,,,2
2026-08-06,2007-05-09,-0.3061,0.1066,,,,,2
2026-08-06,2007-06-28,0.1318,0.1049,,,,,2
2026-08-06,2007-08-07,-0.0296,0.1243,,,,,2
2026-08-06,2007-09-18,0.1336,-0.1765,,,,,2
2026-08-06,2007-10-31,0.3186,-0.0489,,,,,2
2026-08-06,2007-12-11,-0.1142,-0.0478,,,,,2
2026-08-06,2008-01-30,-0.2464,-0.1553,,,,,2
2026-08-06,2008-03-18,-0.1882,-0.2078,,,,,2
2026-08-06,2008-04-30,-0.095,-0.0822,,,,,2
2026-08-06,2008-06-25,0.0159,-0.1562,,,,,2
2026-08-06,2008-08-05,-0.1176,-0.2768,,,,,2
2026-08-06,2008-09-16,-0.3436,-0.2962,,,,,2
2026-08-06,2008-10-29,-0.1289,-0.2648,,,,,2
2026-08-06,2008-12-16,0.071,-0.2834,,,,,2
2026-08-06,2009-01-28,-0.2456,-0.3347,,,,,2
2026-08-06,2009-03-18,-0.0077,-0.222,,,,,2
2026-08-06,2009-04-29,-0.047,0.0072,,,,,2
2026-08-06,2009-06-24,0.3654,0.0026,,,,,2
2026-08-06,2009-08-12,0.3348,0.0191,,,,,2
2026-08-06,2009-09-23,0.4463,0.1815,,,,,2
2026-08-06,2009-11-04,0.4142,0.146,,,,,2
2026-08-06,2009-12-16,0.3456,0.1708,,,,,2
2026-08-06,2010-01-27,0.2521,0.0739,,,,,2
2026-08-06,2010-03-16,0.4417,0.1427,,,,,2
2026-08-06,2010-04-28,0.1909,0.1293,,,,,2
2026-08-06,2010-06-23,0.0039,0.0786,,,,,2
2026-08-06,2010-08-10,-0.0575,0.0045,,,,,2
2026-08-06,2010-09-21,-0.1656,0.0209,,,,,2
2026-08-06,2010-11-03,-0.2401,0.0711,,,,,2
2026-08-06,2010-12-14,-0.1332,0.0583,,,,,2
2026-08-06,2011-01-26,-0.0835,0.2216,,,,,2
2026-08-06,2011-03-15,0.2876,0.1767,,,,,2
2026-08-06,2011-04-27,0.242511,0.0907,0.0723878,,,,3
2026-08-06,2011-06-22,0.17061,-0.0769,-0.00536159,,,,3
2026-08-06,2011-08-09,-0.0433,-0.1389,,,,,2
2026-08-06,2011-09-21,0.1396,-0.1924,,,,,2
2026-08-06,2011-11-02,0.345574,-0.0526,-0.0164362,,,,3
2026-08-06,2011-12-13,0.2254,-0.0029,,,,,2
2026-08-06,2012-01-25,0.171611,0.1019,0.0552382,,,,3
2026-08-06,2012-03-13,0.3433,0.2241,,,,,2
2026-08-06,2012-04-25,0.270422,0.1919,0.0864512,,,,3
2026-08-06,2012-06-20,0.273446,-0.0333,-0.0334445,,,,3
2026-08-06,2012-08-01,0.1301,0.0431,,,,,2
2026-08-06,2012-09-13,0.207806,0.0197,0.0789588,,,,3
2026-08-06,2012-10-24,0.1329,0.0775,,,,,2
2026-08-06,2012-12-12,0.135599,-0.0467,-0.00206453,,,,3
2026-08-06,2013-01-30,0.2679,0.2006,,,,,2
2026-08-06,2013-03-20,0.371542,0.1677,-0.0100168,,,,3
2026-08-06,2013-05-01,0.3001,0.1561,,,,,2
2026-08-06,2013-06-19,0.414186,0.1665,0.0784791,,,,3
2026-08-06,2013-07-31,0.4673,0.2474,,,,,2
2026-08-06,2013-09-18,0.339701,0.0574,0.0422353,,,,3
2026-08-06,2013-10-30,0.4098,0.1145,,,,,2
2026-08-06,2013-12-18,0.35962,0.2895,0.0609504,,,,3
2026-08-06,2014-01-29,0.4153,0.3343,,,,,2
2026-08-06,2014-03-19,0.243933,0.1029,-0.0288435,,,,3
2026-08-06,2014-04-30,0.3332,0.237,,,,,2
2026-08-06,2014-06-18,0.349853,0.2727,0.0416289,,,,3
2026-08-06,2014-07-30,0.3409,0.2302,,,,,2
2026-08-06,2014-09-17,0.3039,0.2113,0.00442534,,,,3
2026-08-06,2014-10-29,0.5137,0.2119,,,,,2
2026-08-06,2014-12-17,0.449277,0.2864,0.112908,,,,3
2026-08-06,2015-01-28,0.429,0.2402,,,,,2
2026-08-06,2015-03-18,0.4595,0.2295,,,,,2
2026-08-06,2015-04-29,0.3112,0.0404,,,,,2
2026-08-06,2015-06-17,0.520119,0.2491,0.154713,,,,3
2026-08-06,2015-07-29,0.5224,0.2376,,,,,2
2026-08-06,2015-09-17,0.401976,0.144,0.0303569,,,,3
2026-08-06,2015-10-28,0.3828,0.1022,,,,,2
2026-08-06,2015-12-16,0.482807,0.1693,0.131305,,,,3
2026-08-06,2016-01-27,0.3913,-0.0567,,,,,2
